Dataset,Unit Id,Title Id,Title,Snippet Id,Snippet,Overlapping Snippet,Snippet Relevance Score,Number of Relevant Mentions,Overall Sentiment-Intensity,Relevant Mention,Relevant Mention Score,Positive Sentiment,Negative Sentiment,Neutral Sentiment,High Intensity,Low Intensity,Medium Intensity
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,1,,,0.9284766909,0,0.3713906764,0.4850712501,0.7276068751,0.4850712501
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,to kick them along before they,0.33,0.8728715609,0.4364357805,0.2182178902,0,0.9284766909,0.3713906764
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,they actually take their swim out to sea,0.33,0.9284766909,0,0.3713906764,0.2294157339,0.6882472016,0.6882472016
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,take their swim out to sea,0.33,0.8,0,0.6,0,0.9284766909,0.3713906764
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,swim out to sea,0.33,0.8,0,0.6,0.1924500897,0.9622504486,0.1924500897
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,out to sea,0.67,0.6,0,0.8,0.1643989873,0.9863939238,0
DS1,228,7290,"13 pilot whales returning to sea, off Western Australia",10-Over,`` I think the plan is that the vet will be there again [ today ] and will give them some vitamins to kick them along before they actually take their swim out to sea . '',1,0.7,6,0,vet,0.33,0.6,0,0.8,0,1,0
DS1,229,7290,"13 pilot whales returning to sea, off Western Australia",9-NonOver,"`` The vet has checked them all and given them some antibiotics yesterday , last thing before dark , '' he had told the Australian national broadcaster .",0,0.12,1,1,,,0.3939192986,0,0.91914503,0,0.9701425001,0.242535625
DS1,229,7290,"13 pilot whales returning to sea, off Western Australia",9-NonOver,"`` The vet has checked them all and given them some antibiotics yesterday , last thing before dark , '' he had told the Australian national broadcaster .",0,0.12,1,0,Australian,1,0,0,1,0,0.9938837347,0.1104315261
DS1,230,7290,"13 pilot whales returning to sea, off Western Australia",5-Over,The whales had become stranded early yesterday .,1,0.42,2,1,,,0,0.9615239476,0.2747211279,0.1561737619,0.9370425713,0.3123475238
DS1,230,7290,"13 pilot whales returning to sea, off Western Australia",5-Over,The whales had become stranded early yesterday .,1,0.42,2,0,whales,0.98,0.3123475238,0.1561737619,0.9370425713,0,0.9922778767,0.1240347346
DS1,230,7290,"13 pilot whales returning to sea, off Western Australia",5-Over,The whales had become stranded early yesterday .,1,0.42,2,0,stranded,0.2,0,0.894427191,0.4472135955,0.1561737619,0.9370425713,0.3123475238
DS1,231,7290,"13 pilot whales returning to sea, off Western Australia",6-Over,"Several power boats and a spotter plane were escorting the surviving whales towards Cape Naturalist , in an operation expected to take several hours .",1,0.34,3,1,,,0.9486832981,0,0.316227766,0.1961161351,0.7844645406,0.5883484054
DS1,231,7290,"13 pilot whales returning to sea, off Western Australia",6-Over,"Several power boats and a spotter plane were escorting the surviving whales towards Cape Naturalist , in an operation expected to take several hours .",1,0.34,3,0,whales,0.82,0.7071067812,0,0.7071067812,0,0.9486832981,0.316227766
DS1,231,7290,"13 pilot whales returning to sea, off Western Australia",6-Over,"Several power boats and a spotter plane were escorting the surviving whales towards Cape Naturalist , in an operation expected to take several hours .",1,0.34,3,0,spotter plane,0.41,0.7071067812,0,0.7071067812,0,1,0
DS1,231,7290,"13 pilot whales returning to sea, off Western Australia",6-Over,"Several power boats and a spotter plane were escorting the surviving whales towards Cape Naturalist , in an operation expected to take several hours .",1,0.34,3,0,surviving whales,0.41,0.9128709292,0.1825741858,0.3651483717,0,0.8574929257,0.5144957554
DS1,232,7290,"13 pilot whales returning to sea, off Western Australia",7-Over,Western Australian State Government Department of Conservation and Land Management ( CALM ) officers feared that the whales could become stranded again .,1,0.34,4,1,,,0,1,0,0.1825741858,0.3651483717,0.9128709292
DS1,232,7290,"13 pilot whales returning to sea, off Western Australia",7-Over,Western Australian State Government Department of Conservation and Land Management ( CALM ) officers feared that the whales could become stranded again .,1,0.34,4,0,Western Australian,0.52,0.1414213562,0,0.9899494937,0,0.9486832981,0.316227766
DS1,232,7290,"13 pilot whales returning to sea, off Western Australia",7-Over,Western Australian State Government Department of Conservation and Land Management ( CALM ) officers feared that the whales could become stranded again .,1,0.34,4,0,whales,0.77,0.316227766,0,0.9486832981,0.1622214211,0.9733285268,0.1622214211
DS1,232,7290,"13 pilot whales returning to sea, off Western Australia",7-Over,Western Australian State Government Department of Conservation and Land Management ( CALM ) officers feared that the whales could become stranded again .,1,0.34,4,0,Western Australian State Government,0.26,0.1414213562,0,0.9899494937,0.1622214211,0.9733285268,0.1622214211
DS1,232,7290,"13 pilot whales returning to sea, off Western Australia",7-Over,Western Australian State Government Department of Conservation and Land Management ( CALM ) officers feared that the whales could become stranded again .,1,0.34,4,0,Australian,0.26,0.1414213562,0,0.9899494937,0,0.9486832981,0.316227766
DS1,233,7290,"13 pilot whales returning to sea, off Western Australia",8-Over,"One CALM officer , Neil Taylor , told ABC News dozens of his colleagues and community volunteers had helped the whales survive throughout the night .",1,0.34,1,1,,,0.9863939238,0.1643989873,0,0.2182178902,0.8728715609,0.4364357805
DS1,233,7290,"13 pilot whales returning to sea, off Western Australia",8-Over,"One CALM officer , Neil Taylor , told ABC News dozens of his colleagues and community volunteers had helped the whales survive throughout the night .",1,0.34,1,0,whales,1,0.1924500897,0.1924500897,0.9622504486,0,0.9863939238,0.1643989873
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,1,,,0.5144957554,0,0.8574929257,0.1622214211,0.9733285268,0.1622214211
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,More than 300 people were watching as the whales set out to sea,0.16,0.1622214211,0.1622214211,0.9733285268,0,0.9899494937,0.1414213562
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,whales,0.81,0.1414213562,0,0.9899494937,0,0.9486832981,0.316227766
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,sea,0.49,0.1414213562,0,0.9899494937,0,0.9899494937,0.1414213562
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,whales set out to sea following,0.16,0.1622214211,0.1622214211,0.9733285268,0,0.9899494937,0.1414213562
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,watching as the whales set out to sea,0.16,0.1622214211,0.1622214211,0.9733285268,0,0.9899494937,0.1414213562
DS1,234,7290,"13 pilot whales returning to sea, off Western Australia",4-Over,More than 300 people were watching as the whales set out to sea following a 30 hour rescue effort .,1,0.67,6,0,set out to sea,0.16,0.4082482905,0.4082482905,0.8164965809,0,0.9899494937,0.1414213562
DS1,215,8453,Australian blitz on fish poaching,8-Over,"Two boats each had one tonne of fish , and shark fin . ]",1,0.1,1,1,,,0,0.1643989873,0.9863939238,0,0.9863939238,0.1643989873
DS1,215,8453,Australian blitz on fish poaching,8-Over,"Two boats each had one tonne of fish , and shark fin . ]",1,0.1,1,0,fish,1,0,0,1,0,1,0
DS1,216,8453,Australian blitz on fish poaching,6-NonOver,"Intelligence indicated what he called `` organised transnational criminal activity '' , including some Asian connections beyond the Indonesian village ports where the vessels originated , but the activity was apparently limited to illegal fishing , and did not include smuggling .",0,0.19,2,1,,,0,0.7808688094,0.6246950476,0,0.7808688094,0.6246950476
DS1,216,8453,Australian blitz on fish poaching,6-NonOver,"Intelligence indicated what he called `` organised transnational criminal activity '' , including some Asian connections beyond the Indonesian village ports where the vessels originated , but the activity was apparently limited to illegal fishing , and did not include smuggling .",0,0.19,2,0,fishing,0.71,0,0.1240347346,0.9922778767,0,0.894427191,0.4472135955
