Event,Location,Actor/Organization,Other
commercial whaling ,Japan,Japan Whaling Association,harpoon cannon
whaling ,shops,International Whaling Commission (IWC),harpoon
hunting,restaurants,Institute of Cetacean Research,Markets
moratorium,North Pacific Ocean,pro- and anti-whaling countries and organizations,whale meat
quota,Southern Ocean,Nations,
,Antarctica,Scientists,
,factory ship,environmental organizations,
,factory ship Nisshin Maru ,NGOs,
,security patrol vessels,United Nations International Maritime Organization,
,,Antarctic Treaty System,
,,Anti-whaling governments,
,,Anti-whaling groups,
,,Greenpeace,
,,Japanese government,
,,World Wildlife Fund,
,,Ocean Alliance,
,,Sea Shepherd Conservation Society,
,,Japan Fisheries Agency,
