Job Id,Unit Id,Tweet Seed Index,Tweet Author,Tweet Content,Tweet Date,[Islands_disputed_between_China_and_Japan] Score,[Korean_MV_Sewol_ferry_sinking] Score,[Japan_whaling_and_dolphin_hunting] Score,[Davos_world_economic_forum_2014] Score,[Disappearance_of_Malaysia_Airlines_Flight_370] Score,[2014_anti-China_protests_in_Vietnam] Score,[Ukraine_crisis_2014] Score,[FIFA_worldcup_2014] Score,[NONE] Score,Clarity Event Type,,[Islands_disputed_between_China_and_Japan] Count,[Korean_MV_Sewol_ferry_sinking] Count,[Japan_whaling_and_dolphin_hunting] Count,[Davos_world_economic_forum_2014] Count,[Disappearance_of_Malaysia_Airlines_Flight_370] Count,[2014_anti-China_protests_in_Vietnam] Count,[Ukraine_crisis_2014] Count,[FIFA_worldcup_2014] Count,[NONE] Count,,[Islands_disputed_between_China_and_Japan] Tweet Word - Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Korean_MV_Sewol_ferry_sinking] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Japan_whaling_and_dolphin_hunting] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Davos_world_economic_forum_2014] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Disappearance_of_Malaysia_Airlines_Flight_370] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[2014_anti-China_protests_in_Vietnam] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Ukraine_crisis_2014] Tweet Word – Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[FIFA_worldcup_2014] Tweet Word – Score,,,,,,,,,,,
89,23802,whaling_1,@Ocean_Pig,Recipe - Alaska Whale Stew - http://t.co/NtHytl5Q23 #Tweet4Taiji #thecove #whaling,2014-04-29,0,0,0.6,0,0,0,0,0,0.8,0.8,,0,0,3,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alaska,0.32,Whale,0.49,Stew,0.32,#thecove,0.16,#whaling,0.32,[NONE],0.65,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,23809,whaling_10,@oceanairclimate,Japanese whaling fleet leaves port weeks after International court delivers ban verdict - WDC: http://t.co/BeuDUh5NO8,2014-04-29,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese,0.57,whaling,0.57,fleet,0.4,leaves,0.16,port,0.16,weeks,0.08,after,0.08,International,0.16,court,0.16,delivers,0.16,ban,0.16,verdict,0.16,[NONE],0,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,23894,whaling_100,@GGBoutiq2eus,UN Court Rules Against Japan in Whaling Dispute - New York Times,2014-04-30,0,0.16,0.94,0.16,0.16,0,0,0.16,0.16,0.94,,0,1,6,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[NONE],0.99,[CHECK_FAILED],0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rules,0.12,Against,0.12,Japan,0.62,in,0.12,Whaling,0.74,Dispute,0.12,[NONE],0.12,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Court,0.16,Against,0.16,in,0.16,[NONE],0.96,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[NONE],0.99,[CHECK_FAILED],0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispute,0.16,[NONE],0.99,[CHECK_FAILED],0,,,,,,
234,23895,whaling_101,@ellymay22,Denounce Japan for Whale Slaughter - ForceChange http://t.co/DeiBleo8Fs,2014-04-30,0.16,0,0.99,0,0,0,0,0,0,0.99,,1,0,6,0,0,0,0,0,0,,Whale,0.16,[NONE],0.99,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denounce,0.21,Japan,0.62,for,0.1,Whale,0.62,Slaughter,0.41,[NONE],0.1,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,23896,whaling_102,@DArcyMayoOnline,Denounce Japan for Whale Slaughter - ForceChange http://t.co/SfgU1enbjB,2014-04-30,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denounce,0.25,Japan,0.57,for,0.19,Whale,0.57,Slaughter,0.5,[NONE],0,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,23897,whaling_103,@PseudoiBtr,World court orders Japan to stop whaling in Antarctic waters - Christian Science Monitor,2014-05-01,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,World,0.09,court,0.09,orders,0.09,Japan,0.61,to,0.26,stop,0.26,whaling,0.61,in,0.17,Antarctic,0.17,waters,0.17,[NONE],0,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,23898,whaling_104,@NettUrsula,Denounce Japan for Whale Slaughter - ForceChange http://t.co/2TWCW3s3CV,2014-05-01,0,0,1,0,0,0,0,0,0,1,,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denounce,0.23,Japan,0.61,for,0.3,Whale,0.53,Slaughter,0.45,[NONE],0,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,23899,whaling_105,@sugarbaby4597,RT @NettUrsula: Denounce Japan for Whale Slaughter - ForceChange http://t.co/2TWCW3s3CV,2014-05-01,0.16,0,0.99,0,0,0,0,0,0,0.99,,1,0,6,0,0,0,0,0,0,,Denounce,0.16,[NONE],0.99,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denounce,0.11,Japan,0.63,Whale,0.63,Slaughter,0.42,[NONE],0.11,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,9,whaling_106,@Arctic_SuziQ,Wildlife Extra News - Clues to why whales are not recovering in numbers in the Antarctic http://t.co/odSyDRooUk,2014-05-01,0,0,0.8,0,0,0,0,0,0.6,0.8,,0,0,4,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clues,0.12,to,0.12,why,0.12,whales,0.47,are,0.36,not,0.47,recovering,0.47,in,0.12,numbers,0.12,[NONE],0.36,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,23900,whaling_107,@joshuacardona4,"Epic ""YEET"" Compilation - Vine Internet Craze! #YEET #Lebroning #Whaling http://t.co/aZ0a72em6k",2014-05-01,0,0,0.6,0,0,0,0,0,0.8,0.8,,0,0,3,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#Whaling,0.6,[NONE],0.8,[CHECK_FAILED],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
