_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,ev0a,ev10a,ev11a,ev12a,ev13a,ev14a,ev15a,ev16a,ev17a,ev18a,ev19a,ev1a,ev2a,ev3a,ev4a,ev5a,ev6a,ev7a,ev8a,ev9a,event0,event1,event10,event11,event12,event13,event14,event15,event16,event17,event18,event19,event2,event3,event4,event5,event6,event7,event8,event9,eventtext,for_each_highlighted_term_select_the_sentiment_that_it_is_expressed_in_this_text_also_select_the_intensity_of_the_sentiment_as_expressed_in_this_text,intensity0,intensity1,intensity10,intensity11,intensity12,intensity13,intensity14,intensity15,intensity16,intensity17,intensity18,intensity19,intensity2,intensity3,intensity4,intensity5,intensity6,intensity7,intensity8,intensity9,intensitytext,textsentiment,_golden,sentence,textforcrowd,uid
745802985,6/29/2015 22:14:43,1675716660,6/29/2015 22:13:22,false,clixsense,0.9103,10798016,GBR,C7,Coventry,86.24.245.191,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,neutral,,,,,,,,,,,neutral,neutral,neutral,neutral,neutral,,,,neutral,,high,medium,,,,,,,,,,,medium,medium,medium,medium,medium,,,,medium,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:26:27,1675723351,6/29/2015 22:25:33,false,clixsense,0.8551,30777913,GBR,U8,Edinburgh,92.239.140.40,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,positive,negative,,,,,,,,,,,positive,positive,negative,positive,neutral,,,,positive,,medium,medium,,,,,,,,,,,medium,medium,low,low,low,,,,medium,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:32:06,1675726413,6/29/2015 22:30:52,false,clixsense,0.9053,30681826,GBR,I3,Rochester,86.163.150.232,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,positive,negative,,,,,,,,,,,positive,positive,negative,positive,neutral,,,,positive,,medium,high,,,,,,,,,,,medium,medium,high,medium,medium,,,,medium,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:32:09,1675726418,6/29/2015 22:30:51,false,pocketmoneygpt,0.8957,21432964,GBR,L1,Twickenham,109.155.122.224,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,positive,negative,,,,,,,,,,,neutral,neutral,negative,neutral,negative,,,,negative,,low,high,,,,,,,,,,,low,low,high,low,medium,,,,high,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:38:19,1675730057,6/29/2015 22:34:51,false,neodev,0.8945,18881135,CAN,ON,Ajax,99.243.87.224,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,negative,,,,,,,,,,,neutral,neutral,negative,neutral,neutral,,,,negative,,low,high,,,,,,,,,,,low,low,high,low,low,,,,high,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:42:25,1675732413,6/29/2015 22:41:11,false,instagc,0.8692,31184650,USA,IA,Mason City,173.26.27.82,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,neutral,,,,,,,,,,,neutral,neutral,neutral,neutral,neutral,,,,neutral,,low,low,,,,,,,,,,,low,low,low,low,low,,,,low,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:45:20,1675734202,6/29/2015 22:44:56,false,instagc,0.8913,20845955,GBR,I2,Manchester,5.69.27.32,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,negative,,,,,,,,,,,neutral,neutral,neutral,neutral,neutral,,,,neutral,,low,medium,,,,,,,,,,,low,low,low,low,low,,,,low,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 22:54:28,1675739942,6/29/2015 22:53:52,false,instagc,0.8945,14475688,CAN,BC,Duncan,154.5.137.95,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,negative,negative,,,,,,,,,,,negative,neutral,negative,neutral,negative,,,,negative,,low,high,,,,,,,,,,,low,low,high,low,medium,,,,high,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/29/2015 23:50:16,1675770582,6/29/2015 23:49:29,false,elite,0.9259,32173500,GBR,"","",90.194.126.120,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,negative,,,,,,,,,,,neutral,neutral,negative,neutral,neutral,,,,positive,,low,medium,,,,,,,,,,,low,low,medium,low,low,,,,medium,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
745802985,6/30/2015 00:09:52,1675780292,6/30/2015 00:09:17,false,clixsense,0.9021,13121046,CAN,QC,Trois-rivières,24.122.52.209,#SOSMauisDolphins,,,,,,,,,,,IMMINENT EXTINCTION,WHALING COMMISSION,DOLPHINS,EXTINCTION,MAUI’S DOLPHINS,WHALING,,,,neutral,neutral,,,,,,,,,,,neutral,neutral,neutral,neutral,neutral,,,,neutral,,low,low,,,,,,,,,,,low,low,low,low,low,,,,low,,false,#SOSMauisDolphins INTERNATIONAL WHALING COMMISSION TO CONSIDER IMMINENT EXTINCTION OF MAUI’S DOLPHINS - New... http://t.co/FLM1pot6PY,#SOSMauisDolphins_###_0_###_17__##__IMMINENT EXTINCTION_###_63_###_82__##__WHALING COMMISSION_###_32_###_50__##__DOLPHINS_###_95_###_103__##__EXTINCTION_###_72_###_82__##__MAUI’S DOLPHINS_###_86_###_103__##__WHALING_###_32_###_39,entity/text/news/tweets-whaling-event-highlighted-spans/677
